name,type,role,DPS,硬さ,Lasthit,移動技,CC,対CC,射程,索敵,範囲回復,パワースパイク
フシギバナ,アタック
リザードン（パンチ）,バランス,fighter
リザードン（火炎放射）,バランス,mage
リザードンX,バランス
リザードンY,バランス
カメックス,ディフェンス,tank,
ピカチュウ,アタック
アローラライチュウ,アタック
ピクシー,サポート
アローラキュウコン,アタック
プクリン,サポート
ニャース,スピード
コダック,サポート
カイリキー,バランス
ガラルギャロップ,スピード
ヤドラン,ディフェンス
ドードリオ,スピード
ゲンガー,スピード
バリヤード,サポート
ギャラドス,バランス
メガギャラドス,バランス
ラプラス,ディフェンス
シャワーズ（クイック）,ディフェンス
シャワーズ（リング）,ディフェンス
カビゴン（ヘビボン）,ディフェンス
カビゴン（じたばた）,ディフェンス
フリーザー,ディフェンス
サンダー,アタック
ファイヤー,バランス
カイリュー（しんそく）,バランス
カイリュー（破壊光線）,バランス
ミュウツーX,バランス
ミュウツーY,アタック
ミュウ,アタック
メガニウム,サポート
バクフーン,アタック
オーダイル,バランス
マリルリ,バランス
エーフィ（ショック）,アタック
エーフィ（アシパ）,アタック
ブラッキー（まなごと）,ディフェンス
ブラッキー（バクサマ）,ディフェンス
ハッサム,バランス
ストライク,スピード
ハピナス（たまご）,サポート
ハピナス（しんぴ）,サポート
スイクン,バランス
バンギラス,バランス
ホウオウ,ディフェンス
サーナイト,アタック
ヤミラミ,サポート
アブソル,スピード
メタグロス,バランス
ラティアス,サポート
ラティオス,アタック
エンペルト,バランス
ガブリアス,バランス
ルカリオ,バランス
メガルカリオ,バランス
リーフィア,スピード
グレイシア,アタック
マンムー,ディフェンス
ダークライ,スピード
イワパレス,ディフェンス
ゾロアーク,スピード
シャンデラ,アタック
マフォクシー,アタック
ゲッコウガ（手裏剣）,アタック
ゲッコウガ（波乗り）,アタック
ファイアロー,スピード
ギルガルド,バランス
ニンフィア,アタック
ヌメルゴン,ディフェンス
オーロット,ディフェンス
イベルタル,アタック
フーパ,サポート
ジュナイパー（かげぬい）,アタック
ジュナイパー（はっぱ）,アタック
アマージョ,バランス
キュワワー,サポート
ミミッキュ,バランス
ダダリン,バランス
マッシブーン,バランス
ゼラオラ,スピード
エースバーン,アタック
インテレオン,アタック
ヨクバリス,ディフェンス
ワタシラガ,サポート
ウッウ,アタック
ネギガナイト,バランス
マホイップ,サポート
タイレーツ,バランス
ジュラルドン,アタック
ドラパルト,アタック
ザシアン,バランス
ウーラオス,バランス
マスカーニャ,スピード
ラウドボーン,アタック
ウェーニバル,バランス
パーモット,バランス
グレンアルマ,アタック
ソウブレイズ,バランス
デカヌチャン,バランス
ミライドン,バランス
パルキア,バランス
